sample,date,time,tank_side,of_start,of_end,no_start,no_end,fps,adj_top,adj_bottom,adj_left,adj_right,of_video_length,no_video_length,intensity_floor,intensity_ceiling,area_floor,area_ceiling,cab_coords_of_q1,cab_coords_of_q2,cab_coords_of_q3,cab_coords_of_q4,cab_coords_no_q1,cab_coords_no_q2,cab_coords_no_q3,cab_coords_no_q4
20191111_1527_5-1_L_A,20191111,1527,L,1905,20603,21373,39778,29,-5,0,0,1,18698,18405,0,155,80,200,Right,Left,Left,Top,Left,Right,Top,Top
20191111_1558_10-1_L_A,20191111,1558,L,2209,20705,21495,39804,29,-1,0,0,2,18496,18309,0,155,80,200,Left,Top,Right,Right,Left,Top,Bottom,Left
20191111_1627_11-1_L_A,20191111,1627,L,2938,21312,21961,40236,30,-1,0,0,6,18374,18275,0,155,80,200,Bottom,Left,Bottom,Right,Right,Bottom,Top,Top
20191111_1655_11-2_L_A,20191111,1655,L,2047,20320,21211,39326,29,-10,0,0,-3,18273,18115,0,155,80,200,Top,Left,Bottom,Bottom,Bottom,Right,Top,Right
20191111_1724_iCab_L_A,20191111,1724,L,2371,20583,21272,44444,29,-14,0,0,4,18212,23172,0,155,80,200,NA,NA,NA,NA,NA,NA,NA,NA
20191112_0948_4-2_L_A,20191112,948,L,2576,21448,22051,40327,29,-13,0,0,0,18872,18276,0,155,80,200,Top,Left,Right,Right,Bottom,Bottom,Top,Top
20191112_1025_13-2_L_A,20191112,1025,L,2078,20409,21080,39207,30,-4,0,0,2,18331,18127,0,155,80,200,Right,Bottom,Right,Top,Bottom,Top,Bottom,Bottom
20191112_1053_14-1_L_A,20191112,1053,L,1978,20376,21113,39571,29,-2,0,0,2,18398,18458,0,155,80,200,Right,Right,Top,Bottom,Left,Top,Right,Left
20191112_1129_14-2_L_A,20191112,1129,L,1609,20543,21180,39364,30,-8,0,0,-3,18934,18184,0,155,80,200,Right,Top,Bottom,Right,Left,Top,Left,Top
20191112_1206_15-1_L_A,20191112,1206,L,1844,20443,21214,39438,30,-9,0,0,1,18599,18224,0,155,80,200,Top,Right,Right,Top,Right,Left,Bottom,Right
20191112_1236_18-2_L_A,20191112,1236,L,1911,20677,21281,39654,29,-10,0,0,0,18766,18373,0,155,80,200,Right,Top,Right,Left,Left,Bottom,Right,Bottom
20191112_1303_17-1_L_A,20191112,1303,L,1777,19974,20912,39083,29,-17,0,0,-3,18197,18171,0,155,80,200,Right,Left,Right,Right,Right,Left,Right,Right
20191112_1331_68-1_L_A,20191112,1331,L,1992,20339,21017,39702,30,-17,0,0,-2,18347,18685,0,155,80,200,Top,Bottom,Top,Left,Left,Top,Left,Right
20191112_1358_23-1_L_A,20191112,1358,L,1933,20085,21060,39264,30,-12,0,0,-3,18152,18204,0,155,80,200,Left,Top,Left,Right,Bottom,Bottom,Top,Left
20191112_1426_59-2_L_A,20191112,1426,L,1738,21356,22204,40693,30,-6,0,0,0,19618,18489,0,155,80,200,Right,Bottom,Left,Left,Right,Left,Bottom,Top
20191112_1456_38-2_L_A,20191112,1456,L,1992,20001,20848,38966,30,-6,0,0,0,18009,18118,0,155,80,200,Bottom,Bottom,Top,Right,Bottom,Top,Top,Top
20191112_1525_33-1_L_A,20191112,1525,L,1661,19873,20551,38920,30,-8,0,0,0,18212,18369,0,155,80,200,Right,Right,Top,Top,Left,Bottom,Left,Left
20191112_1554_43-2_L_A,20191112,1554,L,1611,20128,20890,38909,30,-9,0,0,0,18517,18019,0,155,80,200,Top,Top,Right,Top,Left,Top,Left,Bottom
20191112_1625_39-2_L_A,20191112,1625,L,1653,19958,20636,38969,30,-11,0,0,0,18305,18333,0,155,80,200,Top,Bottom,Left,Left,Top,Bottom,Right,Right
20191112_1653_25-1_L_A,20191112,1653,L,1780,20043,20721,38842,30,-6,0,0,-1,18263,18121,0,155,80,200,Left,Top,Right,Right,Bottom,Right,Bottom,Bottom
20191112_1722_135-2_L_A,20191112,1722,L,1611,19958,20806,38985,30,-9,0,0,-2,18347,18179,0,155,80,200,Left,Left,Left,Bottom,Right,Bottom,Top,Left
20191113_0911_84-2_L_A,20191113,911,L,1526,19916,20678,38926,30,-5,0,0,1,18390,18248,0,155,80,200,Top,Right,Top,Bottom,Top,Left,Bottom,Right
20191113_0941_69-2_L_A,20191113,941,L,1695,20085,20763,39073,30,-8,0,0,0,18390,18310,0,155,80,200,Bottom,Left,Left,Right,Bottom,Top,Top,Right
20191113_1011_iCab_L_A,20191113,1011,L,1950,20339,21017,39220,30,-13,0,0,2,18389,18203,0,155,80,200,NA,NA,NA,NA,NA,NA,NA,NA
20191113_1045_94-1_L_A,20191113,1045,L,1738,20128,20848,39288,30,-7,0,0,-1,18390,18440,0,155,80,200,Top,Left,Right,Right,Bottom,Right,Bottom,Bottom
20191113_1233_79-2_L_A,20191113,1233,L,1187,18390,19026,36359,28,-8,0,0,-2,17203,17333,0,155,80,200,Left,Left,Left,Top,Bottom,Right,Bottom,Left
20191113_1247_106-1_R_A,20191113,1247,R,1057,9960,10280,19086,14,-8,0,0,-5,8903,8806,0,155,80,200,Top,Left,Right,Bottom,Left,Bottom,Top,Right
20191113_1302_53-2_L_A,20191113,1302,L,1399,18602,19450,36734,28,-10,0,0,-5,17203,17284,0,155,80,200,Bottom,Left,Top,Bottom,Right,Bottom,Top,Top
20191113_1317_140-3_R_A,20191113,1317,R,797,9626,10008,18996,14,-7,0,0,-10,8829,8988,0,155,80,200,Left,Left,Top,Left,Left,Left,Bottom,Left
20191113_1332_106-2_L_A,20191113,1332,L,1865,19238,19789,36982,28,-9,0,0,0,17373,17193,0,155,80,200,Left,Top,Left,Right,Left,Top,Left,Left
20191113_1345_80-1_R_A,20191113,1345,R,929,9899,10219,19092,14,-7,0,0,-9,8970,8873,0,155,80,200,Top,Bottom,Right,Right,Right,Bottom,Top,Top
20191113_1401_58-2_L_A,20191113,1401,L,1399,18729,19280,36474,28,-7,0,0,-1,17330,17194,0,155,80,200,Right,Top,Left,Right,Top,Right,Left,Left
20191113_1415_117-1_R_A,20191113,1415,R,933,9747,10004,18887,14,-3,0,0,-1,8814,8883,0,155,80,200,Top,Left,Right,Right,Right,Top,Bottom,Left
20191113_1430_110-2_L_A,20191113,1430,L,1497,18673,19202,36328,28,-10,0,0,2,17176,17126,0,155,80,200,Left,Right,Bottom,Right,Top,Top,Bottom,Bottom
20191113_1444_72-2_R_A,20191113,1444,R,934,9705,9985,18895,14,-7,0,0,-7,8771,8910,0,155,80,200,Left,Top,Top,Top,Right,Top,Right,Left
20191113_1458_137-4_L_A,20191113,1458,L,1653,18766,19296,36549,28,-9,0,0,-5,17113,17253,0,155,80,200,Top,Left,Left,Top,Bottom,Right,Left,Right
20191113_1513_23-2_R_A,20191113,1513,R,863,9872,10191,19040,14,0,0,0,-11,9009,8849,0,155,80,200,Right,Top,Right,Top,Left,Top,Right,Right
20191113_1527_21-2_L_A,20191113,1527,L,1187,18772,19365,36609,28,-12,0,0,0,17585,17244,0,155,80,200,Bottom,Left,Top,Left,Bottom,Left,Right,Bottom
20191113_1542_138-1_R_A,20191113,1542,R,694,9545,9829,18774,14,3,0,0,-4,8851,8945,0,155,80,200,Right,Top,Bottom,Top,Right,Top,Right,Right
20191113_1557_22-1_L_A,20191113,1557,L,1187,18773,19365,36538,28,-12,0,0,-3,17586,17173,0,155,80,200,Bottom,Left,Top,Top,Bottom,Left,Top,Right
20191113_1611_29-1_R_A,20191113,1611,R,823,9707,9991,18843,14,-2,0,0,-2,8884,8852,0,155,80,200,Right,Left,Bottom,Right,Top,Left,Left,Top
20191114_0937_iCab_L_A,20191114,937,L,100,13390,13941,32043,24,-11,0,0,5,13290,18102,0,155,80,200,NA,NA,NA,NA,NA,NA,NA,NA
20191114_0952_4-1_R_A,20191114,952,R,1930,21813,22400,40475,30,-3,0,0,-2,19883,18075,0,155,80,200,Top,Top,Top,Right,Bottom,Top,Right,Bottom
