saul_sample,param,sample,date,time,tank_side,of_start,no_start,fps,adj_top_of,adj_top_no,adj_right_of,adj_right_no,of_end,no_end,assay,quadrant,intensity_floor,intensity_ceiling,area_floor,area_ceiling,bgsub,num_animals,cab_coords
20191111_1527_5-1_L_A__novel_object__q1,int_max_160_area_min_25,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,novel_object,q1,0,160,25,5000,True,2,Left
20191111_1527_5-1_L_A__novel_object__q2,int_max_160_area_min_25,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,novel_object,q2,0,160,25,5000,True,2,Right
20191111_1527_5-1_L_A__novel_object__q3,int_max_140,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,novel_object,q3,0,140,100,5000,True,2,Top
20191111_1527_5-1_L_A__novel_object__q4,int_max_160_area_min_25,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,novel_object,q4,0,160,25,5000,True,2,Right
20191111_1527_5-1_L_A__open_field__q1,no_bg_sub_area_min_10,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,open_field,q1,0,170,10,5000,False,2,Right
20191111_1527_5-1_L_A__open_field__q2,default,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,open_field,q2,0,200,100,5000,True,2,Left
20191111_1527_5-1_L_A__open_field__q3,no_bg_sub_area_min_10,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,open_field,q3,0,170,10,5000,False,2,Left
20191111_1527_5-1_L_A__open_field__q4,default,20191111_1527_5-1_L_A,20191111,1527,L,1930,21390,29,-5,-5,1,1,19330,38790,open_field,q4,0,200,100,5000,True,2,Left
20191111_1558_10-1_L_A__novel_object__q1,int_max_160_area_min_25,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,novel_object,q1,0,160,25,5000,True,2,Left
20191111_1558_10-1_L_A__novel_object__q2,int_max_160_area_min_25,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,novel_object,q2,0,160,25,5000,True,2,Top
20191111_1558_10-1_L_A__novel_object__q3,int_max_160_area_min_25,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,novel_object,q3,0,160,25,5000,True,2,Bottom
20191111_1558_10-1_L_A__novel_object__q4,int_max_160_area_min_25,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,novel_object,q4,0,160,25,5000,True,2,Left
20191111_1558_10-1_L_A__open_field__q1,no_bg_sub_area_min_10,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,open_field,q1,0,170,10,5000,False,2,Left
20191111_1558_10-1_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,open_field,q2,0,150,10,5000,False,2,Top
20191111_1558_10-1_L_A__open_field__q3,no_bg_sub_area_min_10,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,open_field,q3,0,170,10,5000,False,2,Right
20191111_1558_10-1_L_A__open_field__q4,no_bg_sub_area_min_10,20191111_1558_10-1_L_A,20191111,1558,L,2205,21509,29,-1,-1,2,2,19605,38909,open_field,q4,0,170,10,5000,False,2,Top
20191111_1627_11-1_L_A__novel_object__q1,int_max_160_area_min_25,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,novel_object,q1,0,160,25,5000,True,2,Right
20191111_1627_11-1_L_A__novel_object__q2,int_max_160_area_min_25,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,novel_object,q2,0,160,25,5000,True,2,Bottom
20191111_1627_11-1_L_A__novel_object__q3,no_bg_sub_int_max_180_area_min_100,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,novel_object,q3,0,180,100,2000,False,2,Top
20191111_1627_11-1_L_A__novel_object__q4,int_max_160_area_min_25,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,novel_object,q4,0,160,25,5000,True,2,Top
20191111_1627_11-1_L_A__open_field__q1,no_bg_sub_area_min_10,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,open_field,q1,0,170,10,5000,False,2,Bottom
20191111_1627_11-1_L_A__open_field__q2,no_bg_sub_area_min_10,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,open_field,q2,0,170,10,5000,False,2,Left
20191111_1627_11-1_L_A__open_field__q3,no_bg_sub_area_min_10,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,open_field,q3,0,170,10,5000,False,2,Bottom
20191111_1627_11-1_L_A__open_field__q4,no_bg_sub_area_min_10,20191111_1627_11-1_L_A,20191111,1627,L,2938,21961,30,-1,-1,6,6,20938,39961,open_field,q4,0,170,10,5000,False,2,Right
20191111_1655_11-2_L_A__novel_object__q1,area_min_25,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,novel_object,q1,0,200,25,5000,True,2,Right
20191111_1655_11-2_L_A__novel_object__q2,area_min_25,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,novel_object,q2,0,200,25,5000,True,2,Right
20191111_1655_11-2_L_A__novel_object__q3,int_max_150,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,novel_object,q3,0,150,100,5000,True,2,Top
20191111_1655_11-2_L_A__novel_object__q4,no_bg_sub,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,novel_object,q4,0,170,150,2000,False,2,Right
20191111_1655_11-2_L_A__open_field__q1,no_bg_sub_area_min_10,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,open_field,q1,0,170,10,5000,False,2,Right
20191111_1655_11-2_L_A__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,open_field,q2,0,150,10,5000,False,2,Left
20191111_1655_11-2_L_A__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,open_field,q3,0,150,10,5000,False,2,Bottom
20191111_1655_11-2_L_A__open_field__q4,no_bg_sub_area_min_10,20191111_1655_11-2_L_A,20191111,1655,L,2078,21147,29,-10,-10,-3,-3,19478,38547,open_field,q4,0,170,10,5000,False,2,Bottom
