assay,sample,quadrant,wid,hei,n_frames
novel_object,20191111_1527_5-1_L_A,q1,350,354,17400
novel_object,20191111_1527_5-1_L_A,q2,352,354,17400
novel_object,20191111_1527_5-1_L_A,q3,352,364,17400
novel_object,20191111_1527_5-1_L_A,q4,350,364,17400
novel_object,20191111_1558_10-1_L_A,q1,348,358,17400
novel_object,20191111_1558_10-1_L_A,q2,354,358,17400
novel_object,20191111_1558_10-1_L_A,q3,354,360,17400
novel_object,20191111_1558_10-1_L_A,q4,348,360,17400
novel_object,20191111_1627_11-1_L_A,q1,344,358,18000
novel_object,20191111_1627_11-1_L_A,q2,358,358,18000
novel_object,20191111_1627_11-1_L_A,q3,358,360,18000
novel_object,20191111_1627_11-1_L_A,q4,344,360,18000
novel_object,20191111_1655_11-2_L_A,q1,354,350,17400
novel_object,20191111_1655_11-2_L_A,q2,348,350,17400
novel_object,20191111_1655_11-2_L_A,q3,348,368,17400
novel_object,20191111_1655_11-2_L_A,q4,354,368,17400
novel_object,20191111_1724_iCab_L_A,q1,346,344,17400
novel_object,20191111_1724_iCab_L_A,q2,356,344,17400
novel_object,20191111_1724_iCab_L_A,q3,356,374,17400
novel_object,20191111_1724_iCab_L_A,q4,346,374,17400
novel_object,20191112_0948_4-2_L_A,q1,422,422,17400
novel_object,20191112_0948_4-2_L_A,q2,424,422,17400
novel_object,20191112_0948_4-2_L_A,q3,424,446,17400
novel_object,20191112_0948_4-2_L_A,q4,422,446,17400
novel_object,20191112_1025_13-2_L_A,q1,420,430,18000
novel_object,20191112_1025_13-2_L_A,q2,426,430,18000
novel_object,20191112_1025_13-2_L_A,q3,426,438,18000
novel_object,20191112_1025_13-2_L_A,q4,420,438,18000
novel_object,20191112_1053_14-1_L_A,q1,420,432,17400
novel_object,20191112_1053_14-1_L_A,q2,426,432,17400
novel_object,20191112_1053_14-1_L_A,q3,426,436,17400
novel_object,20191112_1053_14-1_L_A,q4,420,436,17400
novel_object,20191112_1129_14-2_L_A,q1,426,426,18000
novel_object,20191112_1129_14-2_L_A,q2,420,426,18000
novel_object,20191112_1129_14-2_L_A,q3,420,442,18000
novel_object,20191112_1129_14-2_L_A,q4,426,442,18000
novel_object,20191112_1206_15-1_L_A,q1,422,426,18000
novel_object,20191112_1206_15-1_L_A,q2,424,426,18000
novel_object,20191112_1206_15-1_L_A,q3,424,442,18000
novel_object,20191112_1206_15-1_L_A,q4,422,442,18000
novel_object,20191112_1236_18-2_L_A,q1,422,424,17400
novel_object,20191112_1236_18-2_L_A,q2,424,424,17400
novel_object,20191112_1236_18-2_L_A,q3,424,444,17400
novel_object,20191112_1236_18-2_L_A,q4,422,444,17400
novel_object,20191112_1303_17-1_L_A,q1,426,418,17400
novel_object,20191112_1303_17-1_L_A,q2,420,418,17400
novel_object,20191112_1303_17-1_L_A,q3,420,450,17400
novel_object,20191112_1303_17-1_L_A,q4,426,450,17400
novel_object,20191112_1331_68-1_L_A,q1,424,418,18000
novel_object,20191112_1331_68-1_L_A,q2,422,418,18000
novel_object,20191112_1331_68-1_L_A,q3,422,450,18000
novel_object,20191112_1331_68-1_L_A,q4,424,450,18000
novel_object,20191112_1358_23-1_L_A,q1,426,422,18000
novel_object,20191112_1358_23-1_L_A,q2,420,422,18000
novel_object,20191112_1358_23-1_L_A,q3,420,446,18000
novel_object,20191112_1358_23-1_L_A,q4,426,446,18000
novel_object,20191112_1426_59-2_L_A,q1,422,428,18000
novel_object,20191112_1426_59-2_L_A,q2,424,428,18000
novel_object,20191112_1426_59-2_L_A,q3,424,440,18000
novel_object,20191112_1426_59-2_L_A,q4,422,440,18000
novel_object,20191112_1456_38-2_L_A,q1,422,428,18000
novel_object,20191112_1456_38-2_L_A,q2,424,428,18000
novel_object,20191112_1456_38-2_L_A,q3,424,440,18000
novel_object,20191112_1456_38-2_L_A,q4,422,440,18000
novel_object,20191112_1525_33-1_L_A,q1,422,426,18000
novel_object,20191112_1525_33-1_L_A,q2,424,426,18000
novel_object,20191112_1525_33-1_L_A,q3,424,442,18000
novel_object,20191112_1525_33-1_L_A,q4,422,442,18000
novel_object,20191112_1554_43-2_L_A,q1,422,426,18000
novel_object,20191112_1554_43-2_L_A,q2,424,426,18000
novel_object,20191112_1554_43-2_L_A,q3,424,442,18000
novel_object,20191112_1554_43-2_L_A,q4,422,442,18000
novel_object,20191112_1625_39-2_L_A,q1,422,424,18000
novel_object,20191112_1625_39-2_L_A,q2,424,424,18000
novel_object,20191112_1625_39-2_L_A,q3,424,444,18000
novel_object,20191112_1625_39-2_L_A,q4,422,444,18000
novel_object,20191112_1653_25-1_L_A,q1,424,428,18000
novel_object,20191112_1653_25-1_L_A,q2,422,428,18000
novel_object,20191112_1653_25-1_L_A,q3,422,440,18000
novel_object,20191112_1653_25-1_L_A,q4,424,440,18000
novel_object,20191112_1722_135-2_L_A,q1,424,426,18000
novel_object,20191112_1722_135-2_L_A,q2,422,426,18000
novel_object,20191112_1722_135-2_L_A,q3,422,442,18000
novel_object,20191112_1722_135-2_L_A,q4,424,442,18000
novel_object,20191113_0911_84-2_L_A,q1,422,430,18000
novel_object,20191113_0911_84-2_L_A,q2,424,430,18000
novel_object,20191113_0911_84-2_L_A,q3,424,438,18000
novel_object,20191113_0911_84-2_L_A,q4,422,438,18000
novel_object,20191113_0941_69-2_L_A,q1,422,426,18000
novel_object,20191113_0941_69-2_L_A,q2,424,426,18000
novel_object,20191113_0941_69-2_L_A,q3,424,442,18000
novel_object,20191113_0941_69-2_L_A,q4,422,442,18000
novel_object,20191113_1011_iCab_L_A,q1,420,422,18000
novel_object,20191113_1011_iCab_L_A,q2,426,422,18000
novel_object,20191113_1011_iCab_L_A,q3,426,446,18000
novel_object,20191113_1011_iCab_L_A,q4,420,446,18000
novel_object,20191113_1045_94-1_L_A,q1,424,428,18000
novel_object,20191113_1045_94-1_L_A,q2,422,428,18000
novel_object,20191113_1045_94-1_L_A,q3,422,440,18000
novel_object,20191113_1045_94-1_L_A,q4,424,440,18000
novel_object,20191113_1233_79-2_L_A,q1,424,426,16800
novel_object,20191113_1233_79-2_L_A,q2,422,426,16800
novel_object,20191113_1233_79-2_L_A,q3,422,442,16800
novel_object,20191113_1233_79-2_L_A,q4,424,442,16800
novel_object,20191113_1247_106-1_R_A,q1,432,422,8400
novel_object,20191113_1247_106-1_R_A,q2,422,422,8400
novel_object,20191113_1247_106-1_R_A,q3,422,438,8400
novel_object,20191113_1247_106-1_R_A,q4,432,438,8400
novel_object,20191113_1302_53-2_L_A,q1,428,424,16800
novel_object,20191113_1302_53-2_L_A,q2,418,424,16800
novel_object,20191113_1302_53-2_L_A,q3,418,444,16800
novel_object,20191113_1302_53-2_L_A,q4,428,444,16800
novel_object,20191113_1317_140-3_R_A,q1,436,424,8400
novel_object,20191113_1317_140-3_R_A,q2,418,424,8400
novel_object,20191113_1317_140-3_R_A,q3,418,436,8400
novel_object,20191113_1317_140-3_R_A,q4,436,436,8400
novel_object,20191113_1332_106-2_L_A,q1,422,426,16800
novel_object,20191113_1332_106-2_L_A,q2,424,426,16800
novel_object,20191113_1332_106-2_L_A,q3,424,442,16800
novel_object,20191113_1332_106-2_L_A,q4,422,442,16800
novel_object,20191113_1345_80-1_R_A,q1,436,424,8400
novel_object,20191113_1345_80-1_R_A,q2,418,424,8400
novel_object,20191113_1345_80-1_R_A,q3,418,436,8400
novel_object,20191113_1345_80-1_R_A,q4,436,436,8400
novel_object,20191113_1401_58-2_L_A,q1,424,428,16800
novel_object,20191113_1401_58-2_L_A,q2,422,428,16800
novel_object,20191113_1401_58-2_L_A,q3,422,440,16800
