sample,assay,quadrant,total_seconds,success_count,frame_count,prop_success
20191115_1420_iCab_R_A,novel_object,q3,600,5551,18000,0.3083888888888889
20191118_1214_39-1_L_B,novel_object,q4,600,5834,18000,0.3241111111111111
20191116_1325_75-1_L_B,novel_object,q1,600,7133,18000,0.3962777777777778
20191120_1158_135-1_L_C,novel_object,q2,600,8352,18000,0.464
20191115_1338_134-1_R_A,novel_object,q3,600,9931,18000,0.5517222222222222
20191119_1100_139-4_L_B,novel_object,q4,600,10529,18000,0.5849444444444445
20191119_1533_25-1_L_C,novel_object,q1,600,10940,18000,0.6077777777777778
20191118_1345_iCab_R_B,open_field,q2,600,11594,18000,0.6441111111111111
20191116_1134_14-2_L_B,novel_object,q1,600,11843,18000,0.6579444444444444
20191113_1302_53-2_L_A,novel_object,q2,600,11081,16800,0.6595833333333333
20191115_1538_4-2_L_B,novel_object,q3,600,11176,16800,0.6652380952380952
20191118_1345_iCab_R_B,open_field,q1,600,12370,18000,0.6872222222222222
20191116_1134_14-2_L_B,novel_object,q2,600,12559,18000,0.6977222222222222
20191121_1106_iCab_R_C,novel_object,q4,600,12811,18000,0.7117222222222223
20191121_1307_outbred-system_R_C,novel_object,q4,600,12916,18000,0.7175555555555555
20191119_1112_47-1_R_B,novel_object,q2,600,13309,18000,0.7393888888888889
20191113_0941_69-2_L_A,novel_object,q1,600,13329,18000,0.7405
20191118_1242_134-1_L_B,novel_object,q4,600,13418,18000,0.7454444444444445
20191113_1513_23-2_R_A,novel_object,q1,600,6315,8400,0.7517857142857143
20191117_1236_110-2_R_B,novel_object,q3,600,13557,18000,0.7531666666666667
20191117_1340_4-1_L_B,novel_object,q1,600,13864,18000,0.7702222222222223
20191120_1105_47-1_L_C,novel_object,q2,600,13905,18000,0.7725
20191119_1222_129-1_L_B,novel_object,q2,600,14166,18000,0.787
20191111_1655_11-2_L_A,novel_object,q1,600,13821,17400,0.7943103448275862
20191116_1438_50-2_R_B,novel_object,q2,600,14402,18000,0.8001111111111111
20191115_1054_75-1_R_A,novel_object,q1,600,14523,18000,0.8068333333333333
20191117_1150_53-2_L_B,open_field,q2,600,14630,18000,0.8127777777777778
